Name,Author,User Rating,Reviews,Price,Year,Genre,Estil_literari,Temas_especificos,Niveles_de_complejidad,Caracteristicas_del_mundo_ficticio,Desarrollo_de_personajes,Enfoque_en_accion_o_reflexion,Longitud_de_la_obra,Epoca_temporal,Nivel_de_detalle_cientifico,Reacciones_emocionales_deseadas
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,prosa_poetica,viajes_en_el_tiempo,tramas_complejas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,alegria
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,dialogo_intenso,futuros_postapocalipticos,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,novelas_cortas,presente_alterado,aproximacion_especulativa,alegria
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,narrativa_tecnica,futuros_postapocalipticos,tramas_sencillas,tecnologias_futuristas,personajes_complejos,narrativas_reflexivas,epicos_extensos,presente_alterado,explicaciones_detalladas,suspense
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,prosa_poetica,distopias,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,explicaciones_detalladas,reflexion_profunda
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,dialogo_intenso,viajes_en_el_tiempo,tramas_complejas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_medianas,futuros_cercanos,aproximacion_especulativa,sorpresa
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,prosa_poetica,realidades_virtuales,tramas_complejas,sociedades_aliens,personajes_planos,narrativas_reflexivas,novelas_medianas,futuros_cercanos,explicaciones_detalladas,sorpresa
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,narrativa_tecnica,realidades_virtuales,tramas_complejas,tecnologias_futuristas,personajes_planos,narrativas_reflexivas,novelas_medianas,futuro_lejano,explicaciones_detalladas,alegria
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,prosa_poetica,distopias,tramas_complejas,tecnologias_futuristas,personajes_planos,accion_y_aventura,novelas_cortas,presente_alterado,explicaciones_detalladas,alegria
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction,dialogo_intenso,distopias,tramas_complejas,sociedades_aliens,personajes_complejos,narrativas_reflexivas,novelas_cortas,futuro_lejano,explicaciones_detalladas,suspense
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,prosa_poetica,distopias,tramas_sencillas,sociedades_aliens,personajes_complejos,narrativas_reflexivas,novelas_medianas,futuro_lejano,aproximacion_especulativa,sorpresa
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,prosa_poetica,futuros_postapocalipticos,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,novelas_cortas,futuros_cercanos,explicaciones_detalladas,sorpresa
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,narrativa_tecnica,distopias,tramas_sencillas,sociedades_aliens,personajes_complejos,narrativas_reflexivas,novelas_cortas,futuro_lejano,aproximacion_especulativa,sorpresa
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,dialogo_intenso,distopias,tramas_complejas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,novelas_cortas,presente_alterado,explicaciones_detalladas,reflexion_profunda
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_complejas,sociedades_aliens,personajes_planos,narrativas_reflexivas,epicos_extensos,futuro_lejano,aproximacion_especulativa,alegria
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,narrativa_tecnica,distopias,tramas_complejas,tecnologias_futuristas,personajes_complejos,narrativas_reflexivas,novelas_cortas,presente_alterado,aproximacion_especulativa,sorpresa
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction,prosa_poetica,realidades_virtuales,tramas_complejas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_cortas,futuro_lejano,explicaciones_detalladas,sorpresa
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,dialogo_intenso,distopias,tramas_sencillas,mundos_alternativos,personajes_planos,narrativas_reflexivas,epicos_extensos,futuros_cercanos,explicaciones_detalladas,reflexion_profunda
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,dialogo_intenso,distopias,tramas_complejas,mundos_alternativos,personajes_complejos,narrativas_reflexivas,novelas_cortas,presente_alterado,explicaciones_detalladas,reflexion_profunda
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,dialogo_intenso,distopias,tramas_complejas,mundos_alternativos,personajes_planos,accion_y_aventura,novelas_medianas,futuro_lejano,explicaciones_detalladas,sorpresa
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_sencillas,tecnologias_futuristas,personajes_planos,narrativas_reflexivas,novelas_medianas,futuros_cercanos,explicaciones_detalladas,reflexion_profunda
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,narrativa_tecnica,futuros_postapocalipticos,tramas_complejas,mundos_alternativos,personajes_planos,narrativas_reflexivas,novelas_medianas,presente_alterado,aproximacion_especulativa,suspense
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction,prosa_poetica,viajes_en_el_tiempo,tramas_complejas,tecnologias_futuristas,personajes_planos,accion_y_aventura,novelas_medianas,presente_alterado,aproximacion_especulativa,reflexion_profunda
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,prosa_poetica,distopias,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,presente_alterado,aproximacion_especulativa,sorpresa
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,dialogo_intenso,viajes_en_el_tiempo,tramas_complejas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,epicos_extensos,futuros_cercanos,aproximacion_especulativa,reflexion_profunda
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,prosa_poetica,futuros_postapocalipticos,tramas_complejas,tecnologias_futuristas,personajes_planos,narrativas_reflexivas,novelas_medianas,futuro_lejano,explicaciones_detalladas,sorpresa
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,narrativa_tecnica,realidades_virtuales,tramas_complejas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,novelas_medianas,futuro_lejano,aproximacion_especulativa,suspense
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_sencillas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_cortas,futuro_lejano,explicaciones_detalladas,reflexion_profunda
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,prosa_poetica,distopias,tramas_sencillas,tecnologias_futuristas,personajes_planos,accion_y_aventura,epicos_extensos,futuros_cercanos,aproximacion_especulativa,reflexion_profunda
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_complejos,narrativas_reflexivas,novelas_cortas,presente_alterado,explicaciones_detalladas,alegria
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,novelas_cortas,presente_alterado,aproximacion_especulativa,alegria
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,epicos_extensos,presente_alterado,explicaciones_detalladas,suspense
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,narrativa_tecnica,futuros_postapocalipticos,tramas_sencillas,mundos_alternativos,personajes_complejos,narrativas_reflexivas,novelas_medianas,futuros_cercanos,aproximacion_especulativa,suspense
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,narrativa_tecnica,distopias,tramas_sencillas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_medianas,presente_alterado,explicaciones_detalladas,alegria
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,prosa_poetica,distopias,tramas_sencillas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_medianas,futuro_lejano,explicaciones_detalladas,reflexion_profunda
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,dialogo_intenso,distopias,tramas_complejas,sociedades_aliens,personajes_planos,narrativas_reflexivas,epicos_extensos,futuro_lejano,aproximacion_especulativa,reflexion_profunda
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,dialogo_intenso,futuros_postapocalipticos,tramas_complejas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_cortas,futuros_cercanos,explicaciones_detalladas,reflexion_profunda
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,prosa_poetica,viajes_en_el_tiempo,tramas_sencillas,tecnologias_futuristas,personajes_planos,accion_y_aventura,novelas_cortas,presente_alterado,explicaciones_detalladas,reflexion_profunda
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,prosa_poetica,distopias,tramas_sencillas,mundos_alternativos,personajes_planos,narrativas_reflexivas,epicos_extensos,futuro_lejano,explicaciones_detalladas,suspense
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,alegria
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,narrativa_tecnica,realidades_virtuales,tramas_sencillas,mundos_alternativos,personajes_planos,narrativas_reflexivas,epicos_extensos,futuros_cercanos,aproximacion_especulativa,suspense
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_cortas,futuros_cercanos,explicaciones_detalladas,sorpresa
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,narrativa_tecnica,distopias,tramas_complejas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,epicos_extensos,presente_alterado,explicaciones_detalladas,suspense
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,narrativa_tecnica,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_planos,narrativas_reflexivas,novelas_medianas,futuros_cercanos,aproximacion_especulativa,reflexion_profunda
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,dialogo_intenso,distopias,tramas_complejas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,novelas_medianas,futuro_lejano,aproximacion_especulativa,reflexion_profunda
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,narrativa_tecnica,futuros_postapocalipticos,tramas_sencillas,mundos_alternativos,personajes_planos,narrativas_reflexivas,novelas_cortas,futuro_lejano,explicaciones_detalladas,reflexion_profunda
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,dialogo_intenso,futuros_postapocalipticos,tramas_sencillas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,epicos_extensos,futuro_lejano,explicaciones_detalladas,sorpresa
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_sencillas,mundos_alternativos,personajes_planos,narrativas_reflexivas,epicos_extensos,presente_alterado,aproximacion_especulativa,suspense
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,narrativa_tecnica,realidades_virtuales,tramas_complejas,sociedades_aliens,personajes_planos,narrativas_reflexivas,epicos_extensos,presente_alterado,aproximacion_especulativa,sorpresa
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,narrativa_tecnica,distopias,tramas_complejas,mundos_alternativos,personajes_planos,narrativas_reflexivas,epicos_extensos,futuro_lejano,explicaciones_detalladas,alegria
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,dialogo_intenso,futuros_postapocalipticos,tramas_complejas,tecnologias_futuristas,personajes_planos,accion_y_aventura,novelas_cortas,futuro_lejano,aproximacion_especulativa,suspense
Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,sorpresa
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,dialogo_intenso,viajes_en_el_tiempo,tramas_complejas,mundos_alternativos,personajes_complejos,narrativas_reflexivas,epicos_extensos,presente_alterado,explicaciones_detalladas,suspense
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,dialogo_intenso,distopias,tramas_sencillas,tecnologias_futuristas,personajes_planos,accion_y_aventura,novelas_medianas,futuro_lejano,aproximacion_especulativa,suspense
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,prosa_poetica,viajes_en_el_tiempo,tramas_sencillas,sociedades_aliens,personajes_complejos,narrativas_reflexivas,novelas_cortas,futuros_cercanos,aproximacion_especulativa,sorpresa
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,sociedades_aliens,personajes_planos,accion_y_aventura,novelas_medianas,futuro_lejano,aproximacion_especulativa,sorpresa
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,sociedades_aliens,personajes_planos,narrativas_reflexivas,novelas_medianas,futuro_lejano,aproximacion_especulativa,sorpresa
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,prosa_poetica,realidades_virtuales,tramas_sencillas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,novelas_medianas,futuro_lejano,aproximacion_especulativa,reflexion_profunda
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,novelas_cortas,futuro_lejano,explicaciones_detalladas,suspense
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,narrativa_tecnica,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,novelas_medianas,futuro_lejano,explicaciones_detalladas,reflexion_profunda
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,prosa_poetica,distopias,tramas_complejas,mundos_alternativos,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,reflexion_profunda
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,dialogo_intenso,distopias,tramas_complejas,mundos_alternativos,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,explicaciones_detalladas,alegria
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_sencillas,mundos_alternativos,personajes_planos,narrativas_reflexivas,novelas_medianas,presente_alterado,explicaciones_detalladas,reflexion_profunda
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,dialogo_intenso,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_medianas,futuros_cercanos,explicaciones_detalladas,reflexion_profunda
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_sencillas,tecnologias_futuristas,personajes_planos,narrativas_reflexivas,novelas_cortas,futuros_cercanos,explicaciones_detalladas,sorpresa
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,novelas_cortas,futuro_lejano,explicaciones_detalladas,sorpresa
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,dialogo_intenso,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,presente_alterado,explicaciones_detalladas,reflexion_profunda
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,prosa_poetica,viajes_en_el_tiempo,tramas_complejas,mundos_alternativos,personajes_planos,accion_y_aventura,novelas_cortas,presente_alterado,explicaciones_detalladas,alegria
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,prosa_poetica,distopias,tramas_sencillas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,alegria
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_complejas,tecnologias_futuristas,personajes_complejos,narrativas_reflexivas,novelas_medianas,presente_alterado,aproximacion_especulativa,alegria
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_sencillas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_cortas,futuros_cercanos,explicaciones_detalladas,suspense
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,dialogo_intenso,distopias,tramas_sencillas,tecnologias_futuristas,personajes_planos,narrativas_reflexivas,novelas_cortas,futuro_lejano,aproximacion_especulativa,sorpresa
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,dialogo_intenso,viajes_en_el_tiempo,tramas_complejas,sociedades_aliens,personajes_planos,accion_y_aventura,novelas_cortas,presente_alterado,aproximacion_especulativa,alegria
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,prosa_poetica,realidades_virtuales,tramas_complejas,tecnologias_futuristas,personajes_complejos,narrativas_reflexivas,novelas_medianas,futuro_lejano,aproximacion_especulativa,sorpresa
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,novelas_medianas,presente_alterado,explicaciones_detalladas,sorpresa
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,prosa_poetica,futuros_postapocalipticos,tramas_sencillas,tecnologias_futuristas,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,sorpresa
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,dialogo_intenso,distopias,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,futuros_cercanos,aproximacion_especulativa,alegria
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_planos,narrativas_reflexivas,epicos_extensos,presente_alterado,explicaciones_detalladas,sorpresa
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,dialogo_intenso,futuros_postapocalipticos,tramas_sencillas,tecnologias_futuristas,personajes_planos,narrativas_reflexivas,novelas_medianas,presente_alterado,explicaciones_detalladas,sorpresa
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,prosa_poetica,realidades_virtuales,tramas_complejas,tecnologias_futuristas,personajes_planos,narrativas_reflexivas,novelas_medianas,futuros_cercanos,explicaciones_detalladas,alegria
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,narrativa_tecnica,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,alegria
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_sencillas,sociedades_aliens,personajes_complejos,accion_y_aventura,novelas_cortas,presente_alterado,aproximacion_especulativa,suspense
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,prosa_poetica,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,novelas_cortas,presente_alterado,aproximacion_especulativa,reflexion_profunda
